Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC,Industry_name_NZSIOC,Units,Variable_code,Variable_name,Variable_category,Value,Industry_code_ANZSIC06
2018,Level 4,CC821,Electronic and Electrical Equipment Manufacturing,Percentage,H36,Current ratio,Financial ratios,121,"ANZSIC06 groups C241, C242, C243, and C244"
2018,Level 4,CC821,Electronic and Electrical Equipment Manufacturing,Percentage,H37,Quick ratio,Financial ratios,90,"ANZSIC06 groups C241, C242, C243, and C244"
2018,Level 4,CC821,Electronic and Electrical Equipment Manufacturing,Percentage,H38,Margin on sales of goods for resale,Financial ratios,31,"ANZSIC06 groups C241, C242, C243, and C244"
2018,Level 4,CC821,Electronic and Electrical Equipment Manufacturing,Percentage,H39,Return on equity,Financial ratios,28,"ANZSIC06 groups C241, C242, C243, and C244"
2018,Level 4,CC821,Electronic and Electrical Equipment Manufacturing,Percentage,H40,Return on total assets,Financial ratios,11,"ANZSIC06 groups C241, C242, C243, and C244"
2018,Level 4,CC821,Electronic and Electrical Equipment Manufacturing,Percentage,H41,Liabilities structure,Financial ratios,41,"ANZSIC06 groups C241, C242, C243, and C244"
2018,Level 4,CC822,Machinery Manufacturing,Dollars (millions),H01,Total income,Financial performance,"4,579","ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Dollars (millions),H02,Sales of goods not further processed,Financial performance,552,"ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Dollars (millions),H03,Sales of other goods and services,Financial performance,"3,989","ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,14,"ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,6,"ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Dollars (millions),H07,Non-operating income,Financial performance,18,"ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Dollars (millions),H08,Total expenditure,Financial performance,"4,203","ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Dollars (millions),H09,Interest and donations,Financial performance,33,"ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Dollars (millions),H10,Indirect taxes,Financial performance,14,"ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Dollars (millions),H11,Depreciation,Financial performance,93,"ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Dollars (millions),H12,Salaries and wages paid,Financial performance,"1,111","ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Dollars (millions),H13,Redundancy and severance,Financial performance,1,"ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Dollars (millions),H17,Purchases of goods bought for resale,Financial performance,366,"ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Dollars (millions),H18,Other Purchases and operating expenses,Financial performance,"2,545","ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Dollars (millions),H20,Non-operating expenses,Financial performance,41,"ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Dollars (millions),H21,Opening stocks,Financial performance,507,"ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Dollars (millions),H22,Closing stocks,Financial performance,521,"ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Dollars (millions),H23,Surplus before income tax,Financial performance,391,"ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Dollars (millions),H24,Total assets,Financial position,"3,134","ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Dollars (millions),H25,Current assets,Financial position,"2,082","ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Dollars (millions),H26,Fixed tangible assets,Financial position,667,"ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Dollars (millions),H27,Additions to fixed assets,Financial position,147,"ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Dollars (millions),H28,Disposals of fixed assets,Financial position,45,"ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Dollars (millions),H29,Other assets,Financial position,385,"ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Dollars (millions),H30,Total equity and liabilities,Financial position,"3,134","ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,"1,308","ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Dollars (millions),H32,Current liabilities,Financial position,"1,280","ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Dollars (millions),H33,Other liabilities,Financial position,547,"ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Dollars,H34,Total income per employee count,Financial ratios,"285,100","ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Dollars,H35,Surplus per employee count,Financial ratios,"24,300","ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Percentage,H36,Current ratio,Financial ratios,163,"ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Percentage,H37,Quick ratio,Financial ratios,122,"ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Percentage,H38,Margin on sales of goods for resale,Financial ratios,34,"ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Percentage,H39,Return on equity,Financial ratios,30,"ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Percentage,H40,Return on total assets,Financial ratios,12,"ANZSIC06 groups C245, C246, and C249"
2018,Level 4,CC822,Machinery Manufacturing,Percentage,H41,Liabilities structure,Financial ratios,42,"ANZSIC06 groups C245, C246, and C249"
2018,Level 3,CC91,Furniture and Other Manufacturing,Dollars (millions),H01,Total income,Financial performance,"1,967",ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Dollars (millions),H02,Sales of goods not further processed,Financial performance,157,ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Dollars (millions),H03,Sales of other goods and services,Financial performance,"1,796",ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,3,ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,0,ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Dollars (millions),H07,Non-operating income,Financial performance,11,ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Dollars (millions),H08,Total expenditure,Financial performance,"1,800",ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Dollars (millions),H09,Interest and donations,Financial performance,18,ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Dollars (millions),H10,Indirect taxes,Financial performance,7,ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Dollars (millions),H11,Depreciation,Financial performance,40,ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Dollars (millions),H12,Salaries and wages paid,Financial performance,492,ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Dollars (millions),H13,Redundancy and severance,Financial performance,0,ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Dollars (millions),H17,Purchases of goods bought for resale,Financial performance,109,ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Dollars (millions),H18,Other Purchases and operating expenses,Financial performance,"1,118",ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Dollars (millions),H20,Non-operating expenses,Financial performance,16,ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Dollars (millions),H21,Opening stocks,Financial performance,220,ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Dollars (millions),H22,Closing stocks,Financial performance,234,ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Dollars (millions),H23,Surplus before income tax,Financial performance,182,ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Dollars (millions),H24,Total assets,Financial position,"1,224",ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Dollars (millions),H25,Current assets,Financial position,715,ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Dollars (millions),H26,Fixed tangible assets,Financial position,312,ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Dollars (millions),H27,Additions to fixed assets,Financial position,80,ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Dollars (millions),H28,Disposals of fixed assets,Financial position,36,ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Dollars (millions),H29,Other assets,Financial position,197,ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Dollars (millions),H30,Total equity and liabilities,Financial position,"1,225",ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,458,ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Dollars (millions),H32,Current liabilities,Financial position,516,ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Dollars (millions),H33,Other liabilities,Financial position,251,ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Dollars,H34,Total income per employee count,Financial ratios,"222,800",ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Dollars,H35,Surplus per employee count,Financial ratios,"20,600",ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Percentage,H36,Current ratio,Financial ratios,139,ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Percentage,H37,Quick ratio,Financial ratios,93,ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Percentage,H38,Margin on sales of goods for resale,Financial ratios,31,ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Percentage,H39,Return on equity,Financial ratios,40,ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Percentage,H40,Return on total assets,Financial ratios,15,ANZSIC06 groups C251 and C259
2018,Level 3,CC91,Furniture and Other Manufacturing,Percentage,H41,Liabilities structure,Financial ratios,37,ANZSIC06 groups C251 and C259
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H01,Total income,Financial performance,"1,282",ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H02,Sales of goods not further processed,Financial performance,80,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H03,Sales of other goods and services,Financial performance,"1,193",ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,2,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,0,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H07,Non-operating income,Financial performance,7,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H08,Total expenditure,Financial performance,"1,166",ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H09,Interest and donations,Financial performance,12,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H10,Indirect taxes,Financial performance,5,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H11,Depreciation,Financial performance,27,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H12,Salaries and wages paid,Financial performance,327,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H13,Redundancy and severance,Financial performance,0,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H17,Purchases of goods bought for resale,Financial performance,60,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H18,Other Purchases and operating expenses,Financial performance,721,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H20,Non-operating expenses,Financial performance,13,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H21,Opening stocks,Financial performance,110,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H22,Closing stocks,Financial performance,115,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H23,Surplus before income tax,Financial performance,122,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H24,Total assets,Financial position,761,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H25,Current assets,Financial position,427,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H26,Fixed tangible assets,Financial position,192,ANZSIC06 group C251
2018,Level 4,CC911,Furniture Manufacturing,Dollars (millions),H27,Additions to fixed assets,Financial position,48,ANZSIC06 group C251
